职位,企业名称,地区,薪资,要求
数据开发leader（base芜湖）,芜湖鼎云科技有限公司,南京,2.5-4万,工作职责：1、基于大数据平台环境进行数据体系建设，可根据需求分析说明书、设计说明书完成数据湖设计包括贴源层、中间层、应用层模型设计；2、根据业务进行数据处理ETL流程设计，指导数据集成实施工作；3、协助产品经理进行分析产品的设计和指标体系的建设；4、能独立和客户对接业务，并编写需求和设计文档；5、与团队形成良好沟通，有效传达设计意图，并持续跟进设计的调整和优化。任职要求：1、本科及以上学历，5年以上相关工作经验；2、熟练Java，python，kafka，Linux， shell，mysql ，有较好的SQL性能调优经验；3、熟悉数据仓库建模理论，了解数据仓库数据分层架构、多维数据模型设计；4、具备优秀的沟通与表达能力和文档编写能力，工作积极主动，严谨认真，肯吃苦，肯钻研 ；5、掌握Hadoop、MPP大数据平台等主流大数据平台和数据仓库的开发、设计和调优；6、有智慧城市、政府行业大数据项目开发经验者优先。
搜索引擎大数据工程师,陕西数字基地出版传媒集团有限公司,西安,1-2.5万,岗位职责：负责红色资源大数据搜索架构研发工作，搜索海量数据的计算、存储、传输、生效等。使用分布式计算、分布式存储、流式计算框架、机器学习等技术不断优化系统架构，提升系统时效性、灵活性、扩展性等。构建与研究高稳定性、高可用性的搜索引擎数据系统架构设计。岗位要求： 1、计算机或相关专业本科及以上学历，对数据处理、数据建模、数据分析等有深刻认识和实战经验；2、熟悉Hadoop/Spark/Hive/HBase等大数据工具，主导过大型数据平台建设者优先；3、精通SQL，熟悉常用的关系型数据库、非关系性数据库和数据仓库，具有SQL性能优化经验；4、了解微服务开发理念、实现技术，熟悉常见设计模式，熟练掌握SSH开发框架，熟练进行Java、Python代码编写，熟悉多线程编程；5、思维敏捷，对新技术敏感，有较强的钻研学习能力；6、有分布式数据处理相关经验，对Hadoop、Hive、Spark等有一定理解。
大数据开发工程师,上海宽文是风软件有限公司,上海,1-2.5万,岗位职责：1、对上游数据进行采集、清洗、清理、加工、转换、加载至目标数据库2、分析源数据结构，设计数据入库规则，构建数据模型，开发实现等3、对系统涉及到的业务知识有一定的理解，深入挖掘和分析业务需求，为业务提供重要的数据建模分析支持4、根据业务需要，提供面向业务的报表、数据提取等数据服务5、对相关业务功能进行实施与测试等相关工作岗位要求：1、2年以上数仓开发和实施工作经验。2、熟悉MySQL、mongodb、redis、Oracle等数据库3、熟悉hive、spark、flink等常用大数据组件4、熟悉常见的SQL性能优化方式5、对数据质量管理、元数据管理、数据权限管理、数据应用等有独到见解的优先
大数据开发工程师（实时）,北京汉克时代科技有限公司,北京,1-2.5万,"职位描述:1、 搭建公司的实时计算平台。2、参与海量数据的运营数据分析体系搭建。3、 负责数据接?, 数据处理, 业务数据建模等?作 。职位要求:1、大学本科及以上学历，计算机、数学，统计学，自动化，电子信息类专业。2、3年及以上大数据开发经验，其中至少有一年大数据实时开发经验，扎实的编程能?，熟练掌Java/Scala/Python编程。3、深?理解主流的?数据和流式数据处理技术Flink等。4、 熟练运?运?数据库 如ElasticSearch, Mysql，MongoDB，HBase，ClickHouse等。5、?作细致、责任?强，具备较强的学习能?及理解能?，有良好的沟通能?和团队协作能?。6、有分布式系统、?规模线上系统开发或者?规模数据处理经验的优先。"
数据开发工程师,福建顶点软件股份有限公司,苏州,1-2.5万,1.参与公司大数据项目的开发、规划、设计；2.负责相关业务模块设计及核心代码的搭建及实现。任职要求:1.本科及以上学历，计算机相关专业毕业，具有较好的数据分析思维；2.熟悉Linux的操作；3.熟悉MYSQL或者ORACLE等数据库开发技术，能够熟练运用SQL，编写存储过程；4.熟悉Hadoop整个生态环境体系，对HDFS、MapReduce、Hbase、Hive、Sqoop等Hadoop技术框架工具有一定研究；5.有基于Hadoop平台数据仓库项目或其他项目开发经验者优先；6.有金融行业数据类项目经验者优先；7.具有较强的学习能力和业务理解能力、良好的沟通、团队合作精神。
数据开发工程师（DX9czf） (MJ000740),北京东方国信科技股份有限公司,石家庄,1万以下,岗位职责：1.？熟练使用sql，有一定的运营商业务理解能力，对业务部门的数据分析需求给予实现与支持；2.？负责数据的提取、统计及数据汇总分析报告；3.？了解etl开发过程，经学习后能利用公司或业内的主流数据工具（如ETL、数据治理等）完成数据调度的开发配置及运行；4.？参与数据仓库（数据集市）业务模型、主题分析设计工作；5.？数据库和大数据平台的日常运维工作。？任职要求：1.？统招本科及以上学历，要求学信网可查，计算机或统计分析相关专业优先，1年以上工作经验者优先；2.？具备快速的学习能力和优秀的分析和解决问题能力，并有团队协作意识；3.？精通基本的sql、能熟练编写通用脚本及存储过程进行数据处理；4.？掌握数据抽取、数据库设计、数据仓库等知识理论；5.？如有运营商行业大数据开发（如hadoop、hive、gp）经验优先。
大数据架构师,上海融和骏玖新能源汽车科技有限公司,上海,2.5-4万,岗位职责：1.整体负责大数据平台架构搭建；2.负责数据采集和数据分析；3.编写数据产品技术方案文档，负责相应数据产品的开发、维护、升级、更新;4.完成业务后台系统及数据库的模块设计、编码、单元测试、维护等各阶段的开发任务；5.参与数据产品的技术路线讨论，以及团队内技术创新研究、新技术的引入并评估可行性、技术难题攻关;任职要求：1、3年以上大中型软件产品的全生命周期开发经验；2、具备良好的面向对象编程基础，扎实的 Java 编程基础知识，熟悉Springboot、SpringCloud开发；3、良好的编码习惯和良好的编码能力，熟悉jvm并且具备一定优化经验，熟悉分布式及并发编程；4、熟悉大数据技术框架，如 Hadoop/Spark/Flink/Hive/Hbase/kafka/presto等，有在云平台软件项目开发经验者优先；5、熟练Clouder CDH或Ambari集群搭建和管理，有自建cdh/Ambari或者云erm产品二次开发和优化经验优先；6、至少精通一种大数据框架，能够具备看源码的能力。有提交过***开源项目pr者优先。7、熟练Linux 编写相关shell 脚本；
大数据开发工程师,丰盛信息科技（上海）有限公司,上海,2.5-4万,职位: 大数据开发工程师 汇报: 技术部经理 工作地点: 中国上海 工作类型: 全职 岗位职责： · 负责大数据平台的数据接入、处理、分析和挖掘工作· 参与Spark生态的大数据离线/实时处理平台的设计、开发及持续优化· 负责数据模型的建立、设计和算法实现，以及模型效果的追踪、检验及优化· 利用数据算法为产品和业务提供数据分析、报表生成、智能告警等· 和各产品沟通，为产品监控、服务质量提升等方面提供数据支持 岗位要求：· 良好的软件设计、开发能力· 出色的数据分析、总结归纳能力，逻辑清楚，思维缜密，数据敏感度高· 好学、上进、责任心强，具备良好的团队协作精神，拥有良好的跨团队沟通技巧 · 熟练掌握程序开发语言，如Python、Java等，熟悉Hadoop、Spark、Flink、Kafka、ES等大数据相关技术和产品优先· 本科及以上学历，统计学、数学、计算机等相关专业优先· 有CDN或流媒体、视频转码等相关经验优先
数据开发工程师,重庆百智智慧科技有限公司,重庆,2.5-4万,【岗位职责】1、参与数据治理相关项目需求调研，针对客户需求设计切实可行的解决方案；2、基于行业数据仓库标准进行数据开发和模型开发支撑业务应用；3、基于通用大数据平台进行离线和实时数据开发；4、探索探查数据，与客户进行业务需求交流，实现客户业务价值。【任职要求】1、本科以上学历，计算机等相关理工科专业；2、5年以上IT系统开发或实施工作经验，其中从事数据开发相关工作3年以上，有制造行业数据开发工作经验者优先；3、掌握数据库应用并熟练掌握SQL开发技术，并有SQL调优经验，熟练掌握Python、Java、Scala一种或多种开发语言的优先；4、熟悉数据仓库的基本理论，熟悉面向行业的数据标准体系，对数据仓库/数据中台/数据湖/数据治理/BI相关内容有较好理解，并有参与数仓设计或建设的项目经验，具备整体数据仓库搭建项目经验的优先；5、了解Hadoop、Hive、MPP等离线框架基本原理，了解Spark、Flink等实时流式引擎基本原理和使用方法并有实践经验；6、积极主动，学习能力强，具有较强的文档撰写能力；7、对数据敏感，具备良好的业务需求分析、数据分析能力，有较强的沟通和协调能力，能快速分析、解决出现的问题。
大数据开发工程师（无需经验）,武汉大工尹科技发展有限公司,武汉,1万以下,对沟通能力强，愿意主动学习的应聘者无需工作经验，公司将安排老员工带会后入职岗位要求：1、本科学位学信网上可查、离校1年及以上2、熟悉hadoop、hive、hdfs、mapreduce等技术的相关原理及操作命令3、熟练编写sql优化及存储过程，熟悉shell脚本4、熟悉ODS数据分层流程5、熟悉数仓模型设计及时间拉链6、有银行业数仓实施经验者优先7、base：武汉 工作地点：上海备注：可以接受转换想从事数据开发的新人
项目经理,武汉讯华通信设备有限公司,武汉,1万以下,任职要求1、IT类专业或工科专业，本科及以上学历，具有至少具备5年相关工作经验基本要求：1、 较高的工作热情；善于表达；2、 具备良好的工作态度、沟通能力和团队合作精神。所需经验、技能：1、智慧城市等相关项目实施或者管理经验，对大型项目平台有较深刻的认知，有较强的组织管理能力；2、对大型IT企业软件开发框架和技术路线有较为深刻的认知，熟悉常规框架及相关工具，并在开源社区有较高参与度；3、熟练word、excel、PPT、PS等其他办公软件及图片处理软件；4、有政府部门，大型企事业单位相关信息化、服务类项目市场经验，具有相关客户资源优先。
大数据开发工程师（NZ210038）,广东南电智控系统有限公司,广州,1万以下,岗位职责：1、深入了解运营业务的数据分析需求，通过分析需求与实现目标制作满足数据模型的需求，并提出清晰地解决方案；2、负责维护数据链路通道，并开展ETL相关工作；3、负责数据处理函数、存储过程及脚本的开发工作；4、参与技术难点的的攻克、大数据技术及数据分析的学习与分享。任职要求1、大专及以上学历，计算机、信息技术、统计学等相关专业优先，3年及以上信息化系统开发及数据处理经验；2、熟悉主流关系型数据库、分布式数据库及大数据存储，如Oracle、MySQL、PostgreSQL、GreenPlum、HDFS、Hive等；3、熟悉数据库系统设计的知识体系；熟练编写SQL处理数据，对于数据仓库建模理论有一定的理解，熟悉Hive-SQL优先；4、熟悉HADOOP体系结构、spark、flink等大数据技术相关内容；有大数据相关成品平台使用经验，或0到1的搭建经验者优先；有DataX、OGG、SQOOP、nifi等相关工具使用经验优先；5、责任心强、为人正直，乐于沟通，对工作热情。
自动驾驶大数据开发工程师,九识（苏州）智能科技有限公司,苏州,2.5-4万,?动驾驶的数据收集、管理、筛选是?动驾驶可持续?案中的重要环节。?动驾驶数据算法团队， 将致?于构建海量多样化数据（包含雷达点云、图像），并整理、清洗、筛选出?价值的数据来?撑量产???的数据闭环。?作职责：1. 负责基于hadoop、hive等?数据组件开发分布式计算业务2. 负责?数据平台数据仓库的架构设计、开发及相关?档的编写3. 负责海量数据接?、存储、计算、调度优化等4. 参与数据、权限管理系统的设计和开发5. 参与?数据平台的数据架构设计，完成数据驱动的完整设计岗位要求：2. ?少三年C++或Java编程基础和经验，并具备?数据开发相关经验3. 熟悉hadoop，spark?态，并熟练使?包括但不限于ceph，spark，yarn，hive，kylin，flink，了解其特性和使?场景4. 熟悉hdfs分布式?件系统，MapReduce计算框架5. 熟悉linux开发环境，熟悉数据库技术6. 熟练掌握完整数据处理流程以及数据?动化部署加分项：1. 具备海量数据开发与调优经验2. 具备数据中台设计与实际开发经验3. 熟悉Kubernetes及微服务的应?开发、设计4. 熟悉?动驾驶及相关的Lidar、Camera等传感器数据5. ?年以上的?动驾驶相关研究或?作经验
大数据开发工程师,上铁互联信息技术江苏有限公司,南京,1-2.5万,工作内容：1、负责大数据平台的设计、建模、代码开发和测试；2、规划大数据平台的架构和部署需求，把握系统的高可用、扩展、安全、性能、伸缩性等；3、及时与产品经理/项目经理沟通需求，分析梳理业务场景，协助需求侧解决各种业务实现 问题；4、负责核心技术难题的攻关，攻克团队遇到的技术难题，持续对线上系统进行性能优化及稳定性提升；5、参与对平台的运维和运营的支撑体系的制定和实施，对线上突发问题进行及时响应并解 决；6、负责大数据团队建设及管理，技术文档输出，根据业务发展组织技术预研，并对技术团队布道。岗位要求：1、本科及以上学历；2、热衷于产品研发和技术创新， 具有很强的学习能力并有强烈的责任意识和开放的心态， 工作态度好，积极向上者为先；3、具备大型分布式、高并发、高负载、高可用系统设计、开发及调优经验，有大数据平台 的软件开发、部署经验；4、熟悉 Hadoop 生态圈技术栈，HBase、Hive、MapReduce 等；熟悉 Spark、Storm、Kafka、 Zookeeper、K8S 等开源组件，具备开源项目集成开发经验优先；5、熟悉容器、人工智能、微服务等新技术，有互联网运营平台架构设计或大数据公司同类 平台或产品设计、开发经验者优先。
大数据开发工程师（离线+实时）(J19761),招商局国际科技有限公司,深圳,1-2.5万,福利待遇好，3~6个月年终奖+餐补/话补+节日福利+下午茶等，全额五险一金，公积金缴纳比例12%.工作职责:1.针对数据支撑类业务，提供数据分析、数据接口、基础模型、汇总模型、ETL流程等设计和开发；2.参与数据仓库模型建设与管理，参与制定模型开发规范、数据治理规范并推进落地；3.负责数据源调研、入库、离线和实时数据处理的全流程开发工作，并保证数据质量。任职资格:1.计算机、数学、统计学等相关专业本科以上学历；2.一年以上互联网行业数仓、实时数仓及数据分析相关经验；3.精通SQL，熟悉大数据平台环境下的数据开发技术：hadoop/hive、kylin、Spark、Flink、kafka等；4.熟练使用关系型数据库，如Oracle，PostgreSql，mysql；5.熟悉数据仓库理论，指标体系构建，数据质量管理，熟悉一门开发语言：java、python等；6.具备良好的学习能力、分析解决问题的能力和沟通协调能力，高度责任心和团队合作精神，对业务有自己理解和判断力；
大数据开发工程师,京北方信息技术股份有限公司,深圳,1-2.5万,1、熟悉大数据智能分析，有海量数据开发经验和方案；2、熟悉分布式数据库开发，懂数据库日常运维，对分布式数据库有自己的理解；3、熟悉信息管理报表系统的架构和设计，熟悉监管报送。学历要求：统招学信网大专以上学历。
大数据开发-福州兴业,厦门至恒融兴信息技术股份有限公司,福州,1-2.5万,工作职责：1、负责数据仓库各业务条线涉及的数据、存储过程、报表开发；2、负责数据仓库模型的持续效率优化、数据质量提升；3、参与新一代数据仓库模型建设及数据比对工作；4、同时需遵守相关版本管理及工作规范，按需更新并完成相关工作文档。任职资格：1、***本科毕业后，工作至少3年，倾向6年及以上数据库开发经验。2、熟悉Oracle、Mysql等传统数据库的存储过程编写，能独立理解相关模型的详细设计，按需完成相关逻辑的开发落地。3、有BI报表开发经验，能够根据总体的页面设计方案，落地成相关的BI模板。4、有金融行业数据仓库模型建设相关经验者优先。
大数据开发工程师,中冶赛迪信息技术（重庆）有限公司,重庆,1-2.5万,岗位职责：1. 参与数据类产品的整体架构规划，不断完善现有产品的数据架构、技术架构和功能架构； 2. 负责数据产品相关平台、工具、系统的设计、开发和维护工作； 3. 根据业务需求，设计数据平台的详细技术方案。任职要求：1. 本科及以上学历，计算机相关专业，3年以上数据类项目参与经验，较强的独立分析和解决问题的能力； 2. 熟悉企业数据治理相关方法、架构和推进过程； 3. 熟悉Hive/Flink/kudu/impala/doris等常见的大数据组件，并且有实际项目使用经验； 4. 熟悉datax/kettle/sqoop等ETL工具，熟悉ETL开发流程和规范； 5. 精通SQL，熟悉SQL性能优化方法； 6. 熟悉数据仓库，具有大数据系统架构设计和落地实施经验。
大数据研发工程师,哈尔滨工业大学软件工程股份有限公司,哈尔滨,1万以下,"***本科学历及以上，计算机软件或相关专业；精通Java或python编程语言；精通SpringCloud框架，熟悉VUE前端框架优先；精通MYSQL、Oracle?等关系型数据库中的一种；.熟悉Hadoop,Spark,Hive,kettle等大数据开源框架；有独立工作能力，有较强的分析和解决问题能力，能适应短期出差;拥有大数据处理经验与大数据分析经验优先。工作地点：江南、江北"
大数据解决方案架构师,万宝盛华人力资源（中国）有限公司常熟分公司,苏州,1-2.5万,岗位职责：1、负责面向客户的场景需求，进行大数据解决方案及架构的规划与设计，结合公司产品提供有竞争力的解决方案。2、面向客户使用场景设计测试方案和测试用例，在方案和用例中体现产品优势。3、负责输出面对客户的需求的企业云上大数据方案，并输出迁移交付可行性方案。4、参与大数据项目拓展交流，能够有效的将公司产品的竞争力传递给客户，并赢得项目。5、指导或者参与重大项目解决方案的实施策略，对行业/区域的重大项目成功负责。6、进行市场洞察分析、友商竞争分析，并制定竞争策略推动产品竞争力落地。岗位要求：大专及以上1、具备以Hadoop生态为主的大数据技术栈基础知识，熟悉HDFS、MR、Hive、Spark、Flink等核心组件2、熟悉业界常见的大数据解决方案架构，熟悉典型大数据应用场景例如用户画像、推荐、运营分析等3、具备数据分析数据建模基础知识
大数据开发工程师G03697,阳光电源股份有限公司,合肥,1-2.5万,职责描述: 1. 参与生产系统数据平台架构设计和搭建工作，包括实时与离线任务设计与开发；2. 负责海量数据的采集、清洗、处理工作，保障计算与存储服务的高可用；3. 参与数据中台体系建设与开发，负责指标体系建设、应用与维护；4. 参与数据应用规划，为数据产品、数据挖掘和AI团队提供平台与工具支持；5. 理解业务背景、持续对系统的技术架构进行改进和优化，提升海量数据质量、查询性能和用户体验；任职要求:1. 计算机或相关专业本科及以上学历，3年以上大数据开发经验，扎实的Java/scala语言基础；2. 掌握数据仓库实施方法论、了解数据仓库体系，并支撑过实际业务场景；3. 具有丰富的数据加工处理经验，对数据处理、数据清洗，数据建模等有深刻认识和实战经验；4. 具有基于Kafka等消息队列的实时数据处理经验及优化能力；5. 熟练使用Hive、Lakehouse、Habase、Clickehouse、Flink、Spark等进行数据存储与计算；5. 熟悉并行计算或者分布式计算原理，熟悉高并发、高稳定性、可线性扩展、海量数据的系统特点和技术方案；6. 有基于云平台、云原生SaaS建设经验者优先。
大数据开发工程师,国药控股国大药房有限公司,上海,1-2.5万,"工作职责1.?负责数据平台体系建设，数据仓库ETL流程的开发、优化及解决相关技术问题;2.?负责指标体系建设和完善，通过对业务的敏锐洞察和理解，构建合理的分析体系3.?负责BI相关产品和大数据解决方案的规划、架构设计、关键实现4.?负责BI报表开发和优化;任职要求1.大学本科及以上、计算机、统计学、数学等相关专业2.良好的逻辑思维能力、业务解读能力和快速学习能力3.三年以上数据中台体系搭建经验和大数据项目经验，至少熟悉一种大数据平台优先，如?Greenplum、hadoop等4.熟悉linux系统，熟悉SQL语法及数据库知识,三年及以上BI产品ETL开发经验5.熟悉帆软finereport,fineBI?工具开发"
大数据开发助理（提供住宿）,安徽鹏玖科技有限公司,合肥,1万以下,岗位职责:协助和参与大数据项目开发，配合项目经理工作。应聘要求：1、掌握Python、java、sql、Hadoop生态圈等其中一种基本知识应用；2、了解数据的辨析、抽取、清洗、填补、平滑、合并、规格化及检查一致性等预处理技术方面的基本知识；3、清楚对项目开发的流程和基本要求；4、有良好的敬业精神、学习能力和团队协作能力。5、能够适应一般的加班和出差；提供住宿 水电自理
数据开发岗,厦门国贸控股集团有限公司,厦门,1-2.5万,一、岗位职责1.负责公司大数据平台与各业务板块应用系统间的对接工作，从应用系统采集数据并进行清洗和标准化；2.参与公司大数据应用的相关研发工作，设计并开发数据模型，对数据进行分析挖掘，完成各类可视化应用的建设；3.参与公司的数据管理工作，跟进数据治理各环节；4.负责对接第三方软件服务供应商，沟通需求，跟进并推动项目实施落地；5.负责基于第三方软件产品进行定制化二次开发的工作；6.负责监控数据作业调度任务、大数据平台的优化和维护工作；7.其他：完成公司领导交办的其他工作。二、任职条件1.年龄40周岁以下（含）；2.本科及以上学历，计算机、软件工程、通信、自动化、统计学、数学等相关专业；3.5年以上（含）数据开发工作经验，具有良好的数据敏感度；4.精通SQL的编写，包含存储过程及SQL优化，熟悉主流的关系型数据库，如Oracle、MySQL、SQLServer等；5.熟悉主流的离线及实时大数据开发平台，如Hadoop、Greenplum、Spark、Hive、Flink等；6.在以下领域之一具备扎实及独到的理解，如：机器学习、数据挖掘、深度学习、图模型、文本挖掘等，擅长使用量化方法分析业务问题；7.熟悉主流财务系统如用友、金蝶等，具备财务数据治理经验者优先；8.综合素质较好，具备较强的内驱力、执行力、沟通能力和抗压能力，有良好的团队协作精神；9.诚实守信、责任心强，身体健康、积极乐观，具有正常履行工作职责的身心条件，遵纪守法，无不良行为记录。
大数据开发工程师,上海兆殷特科技有限公司,西安,2.5-4万,工具：Flink、Spark等【岗位要求】1、统招本科以上学历，3年以上工作经验；2、熟悉flink/spark/hadoop/hbase/hive等分布式计算技术，熟悉其运行机制和体系结构；3、三年以上大型数据仓库架构和建模经验，熟悉大型互联网企业仓库架构解决方案者优先；4、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题；5、能够通过数据化运营发现、分析问题和优化流程，推动数据处理流程自动化，提升团队运转效率；6、思路清晰，对数据敏感，有良好的沟通表达能力和跨团队协调能力，乐于寻求挑战和突破自我；参与构建SaaS领域流批一体计算引擎、湖仓一体计算引擎构建，支撑公司核心业务实时/离线统一的应用场景，并针对重难点问题进行技术攻关
